比赛id,上半场是否有进球,主队上半场得分,客队上半场得分,是否推荐场次,主队近期比赛数,主队近期总得分,主队近期总失分,主队近期上半场总得分,主队近期上半场总失分,主队30天内比赛数,主队30天内总得分,主队30天内总失分,主队30天内上半场总得分,主队30天内上半场总失分,客队近期比赛数,客队近期总得分,客队近期总失分,客队近期上半场总得分,客队近期上半场总失分,客队30天内比赛数,客队30天内总得分,客队30天内总失分,客队30天内上半场总得分,客队30天内上半场总失分,上半场进球系数
27796,1,1,1,1,4,7,1,3,1,3,4,1,2,1,4,6,5,5,3,3,6,2,5,1,3.257143
27797,1,0,1,1,12,16,11,6,3,6,6,7,2,2,15,14,16,6,8,6,7,5,2,2,1.593651
27798,0,0,0,1,6,8,7,4,2,5,7,7,3,2,7,9,3,4,1,5,7,2,3,1,1.887879
27799,1,1,0,1,6,7,10,3,5,5,6,9,2,4,5,7,5,2,1,4,4,3,1,1,1.777778
27800,1,1,0,1,7,7,15,1,7,5,5,11,1,3,5,8,6,4,3,4,6,3,4,2,2.377778
27801,1,1,0,1,6,9,9,4,1,4,7,5,2,1,5,8,6,3,2,4,4,5,1,1,1.680000
27802,1,4,1,1,8,23,8,11,2,4,11,3,5,0,8,10,19,3,5,4,6,12,2,2,2.700000
27803,1,2,0,1,6,6,12,4,3,5,4,12,3,3,8,7,8,3,5,7,5,6,2,4,2.080000
27804,1,0,1,1,4,3,4,1,1,2,2,4,1,1,3,5,13,1,6,1,1,2,0,2,2.566667
27805,1,0,1,1,3,2,5,2,3,3,2,5,2,3,4,2,3,2,2,4,2,3,2,2,2.600000
27806,1,1,0,1,3,6,2,2,1,2,2,2,1,1,2,2,4,1,1,1,1,2,1,1,2.373333
27807,1,2,0,1,12,21,27,7,8,4,6,10,1,3,9,13,8,6,1,3,1,2,1,0,1.916667
27809,1,1,1,1,2,3,1,1,0,1,1,0,1,0,2,7,3,3,1,2,7,3,3,1,3.000000
27810,0,0,0,1,3,2,0,0,0,1,0,0,0,0,1,3,2,0,2,0,0,0,0,0,1.600000
27811,1,2,1,1,15,23,14,12,7,3,6,4,4,2,25,38,28,11,13,7,7,9,2,6,2.429167
27812,1,2,1,1,26,39,32,12,15,7,8,13,3,8,11,13,17,6,11,4,2,5,1,2,2.356364
27813,1,1,0,0,20,28,24,9,12,5,5,4,1,3,19,26,24,7,8,4,4,3,0,2,1.673043
